rep_id,omega,gamma,beta,c,convergence,rmse,mae,runtime
61,0.06766629567407093,0.10841835934513673,0.890580991187514,0.7975537322097198,True,0.12859951069021383,0.11387541693413229,46.233088970184326
62,0.06593867349813683,0.12372556064016708,0.8752744359178763,1.0920609200607698,True,0.10799860552031104,0.10363601856069501,50.92874097824097
63,0.06956019128727903,0.115700481460171,0.8832986279624316,1.0948196537535066,True,0.15185933401628895,0.1485393794431186,19.276170015335083
64,0.20353079503404473,0.5871622245166449,0.4114140002130474,1.1892828451961568,True,0.1389782498242073,0.10904576951461772,212.89582324028015
65,0.2401989774001303,0.006081401452200104,0.5679820634095085,0.11946523815341847,True,0.15579264669230128,0.15389650990167422,100.44824886322021
66,0.086469853412507,0.11319021124816486,0.8466219384823068,0.7231547527220311,True,0.11099459928042509,0.09049723656763188,52.84375
67,0.22135654340690009,0.646690381570103,0.3521719940952415,1.2623689219344798,True,0.13881282427781652,0.1074477804751299,210.7927770614624
68,0.06969323016030918,0.11412853258000988,0.884870004485409,1.112705346875405,True,0.1598711039222624,0.1569394635398641,16.272130727767944
69,0.08453995787052547,0.11356059701630315,0.8528976986775437,0.8061991667352579,True,0.12080378863920455,0.10879591916028285,48.066267013549805
70,0.06814147592753664,0.10717241295729847,0.8902235381937417,0.9070026982056485,True,0.1402851580112984,0.1331626829192036,44.633259773254395
71,0.0848803307285862,0.08743290301098676,0.8445542665194549,1.4429295440863446,True,0.16380633988813367,0.16286702509695591,31.610975980758667
72,0.06961641852672777,0.12074157496339939,0.8782499181576674,1.1321505888739425,True,0.13800841236241204,0.13505951847173644,17.813479900360107
73,0.13284029493051108,0.05470645202936436,0.7547039533240452,0.42310951095044125,True,0.10421482355948786,0.08608445020623315,74.42262625694275
74,0.26025857566279337,1.3509410833072025e-05,0.514179648620676,1.1227423160950862,True,0.1932490758640681,0.18660140395068303,66.91491198539734
75,0.1602500024868876,0.013502467330825215,0.6877923815280291,0.13559239017849867,True,0.08592283894499358,0.06499217929131089,63.79484701156616
76,0.06932680021083318,0.12142286856729158,0.8775771092705932,0.9797952212456815,True,0.12285066426885116,0.11552982829135854,44.10279297828674
77,0.0553174106773118,0.06448414967067534,0.8982907939056841,9.999999401103631,True,0.19962041725650564,0.1936325468447796,89.39885783195496
78,0.0726481018782882,0.10632491657340498,0.8721240403688114,0.8508021024946215,True,0.11674654068292285,0.10771991650446024,53.45609378814697
79,0.0857186121039794,0.12975603851640943,0.8438955105650542,0.8896722607178951,True,0.11526275733058006,0.10390738268023732,40.557315826416016
80,0.0671580282830101,0.12020044026631044,0.8787991974045428,1.0629528478408938,True,0.12268136317793481,0.1178344153570306,33.866620779037476
81,0.2922580970342244,3.3950385054353784e-05,0.46117462469159687,9.999995875812472,True,0.20050317685436844,0.19443497825347947,110.85980892181396
82,0.07001559067881744,0.11123744807892877,0.8877624154296588,0.7442550726447108,True,0.12466961954674946,0.10424524067126631,50.18590831756592
83,0.0644836385959798,0.10765601723970575,0.8886359043423624,1.3499872317370754,True,0.16404453157946983,0.1629174601627599,48.75563287734985
84,0.08862823494916622,0.18702179508593217,0.8119773008055211,0.6908120753477589,True,0.11749941623871286,0.08785732071628478,50.01288604736328
85,0.10687254631009524,0.07852834454515228,0.8033381741731072,0.42941526496435434,True,0.10485274322076159,0.07771791128680994,77.82946610450745
